geography,y5_p75_earnings
1,68280
2,73590
4,63330
5,44310
6,59580
8,57570
9,60030
10,
11,103400
12,54610
13,60740
15,73640
16,40370
17,62040
18,52420
19,52430
20,53700
21,64340
22,60360
23,48400
24,99490
25,66100
26,57800
27,54100
28,53400
29,54530
30,55120
31,50020
32,54490
33,63700
34,65350
35,67860
36,61460
37,61300
38,82350
39,54000
40,57360
41,52050
42,59100
44,
45,52360
46,50370
47,50820
48,63690
49,58510
50,
51,100300
53,65920
54,52890
55,52920
56,58560
